iter	RMSE
171	580.2982872
172	580.1602045
173	580.0517946
174	579.9509449
175	579.842265
176	579.6796816
177	579.5816166
178	579.5254344
179	579.410984
180	579.2645086
181	578.9653208
182	578.4354622
183	578.3278988
184	578.174755
185	578.0769843
186	577.9873092
187	577.9333985
188	577.8213203
189	577.6884204
190	577.5518807
191	577.4213794
192	577.1331556
193	577.014661
194	576.9161674
195	576.8353625
196	576.7837348
197	576.6061541
198	576.4618508
199	576.1504335
200	576.0660421
201	575.7913877
202	575.6990993
203	575.4999539
204	575.2130438
205	575.1242609
206	575.0387164
207	574.9499404
208	574.8676107
209	574.6952626
210	574.5035511
211	574.376294
212	574.2969472
213	574.1791961
214	574.1028237
215	573.9181395
216	573.7796719
217	573.5170556
218	573.1991196
219	573.1254538
220	572.9684845
221	572.8974632
222	572.7194918
223	572.6380477
224	572.4143268
225	572.3042644
226	572.1462348
227	571.893082
228	571.7536474
229	571.557187
230	571.3029947
231	571.0484002
232	570.9456932
233	570.8527185
234	570.5068307
235	570.3734001
236	570.3187712
237	570.19061
238	570.0011303
239	569.8422757
240	569.7074652
241	569.6075195
242	569.5596244
243	569.4549725
244	569.3866825
245	569.3208936
246	569.0785857
247	569.0151811
248	568.9540766
249	568.8185373
250	568.6496674
251	568.3846315
252	568.2629599
253	568.1581152
254	568.0991835
255	568.0124092
256	567.857767
257	567.7308012
258	567.5640905
259	567.4875348
260	567.3589617
261	567.3059166
262	567.2505173
263	567.0898848
264	567.0364868
265	566.8818855
266	566.770843
267	566.5388329
268	566.3873156
269	566.2810156
270	566.1374036
271	566.0320608
272	565.8909982
273	565.7212661
274	565.5960946
275	565.4828323
276	565.433684
277	565.1946176
278	565.1443277
279	565.0203393
280	564.8714964
281	564.7967202
282	564.711298
283	564.6232586
284	564.3989504
285	564.1676411
286	563.9042053
287	563.7603927
288	563.6763393
289	563.5744874
290	563.4270459
291	563.2843653
292	563.1900015
293	563.1413761
294	562.9953642
295	562.7060214
296	562.6591231
297	562.5645049
298	562.5192983
299	562.4313027
300	562.3116873
301	562.0972779
302	561.9594195
303	561.84881
304	561.7973842
305	561.4691191
306	561.1107284
307	560.9981834
308	560.6583158
309	560.5613513
310	560.4187266
311	560.1219341
312	560.0776618
313	559.4429411
314	559.2328341
315	559.1455534
316	558.9353776
317	558.6648848
318	558.6223115
319	558.5438119
320	558.1775768
321	557.8623288
322	557.799036
323	557.6583435
324	557.444321
325	557.3090397
326	557.1703422
327	557.0402703
328	556.9036843
329	556.6437959
330	556.5140164
331	556.3902068
332	556.3451956
333	556.2756737
334	556.2344645
335	555.9948239
336	555.9212291
337	555.8017085
338	555.6066197
339	555.514538
340	555.4747807
341	555.4007227
342	555.1677119
343	555.0456191
344	554.8459227
345	554.6932602
346	554.5819653
347	554.4365318
348	554.3940772
349	554.2796273
350	553.9762115
351	553.9377799
352	553.9007378
353	553.8202306
354	553.7418547
355	553.6148283
356	553.5029281
357	553.283302
358	553.2348031
359	553.1126441
360	552.9801287
361	552.8929506
362	552.6955247
363	552.6562489
364	552.5458409
365	552.4526128
366	552.2431218
367	552.2050959
368	552.143835
369	552.1090807
370	551.9916051
371	551.6222622
372	551.5879257
373	551.4815527
374	551.2733271
375	551.1708588
376	551.0645041
377	550.9430561
378	550.8482995
379	550.8051691
380	550.3655265
381	550.2407438
382	550.1408953
383	550.0448684
384	549.9412187
385	549.8121164
386	549.7197198
387	549.6641306
388	549.6186078
389	549.5870588
390	549.3976579
391	549.362684
392	549.2407072
393	549.1517495
394	549.0618456
395	548.9415386
396	548.8054657
397	548.5596434
398	548.4766112
399	548.2014987
400	548.0001517
401	547.8974129
402	547.7985508
403	547.5097265
404	547.3609229
405	547.2845503
406	547.1950017
407	546.9199212
408	546.7630279
409	546.4664151
410	546.372757
411	546.0913372
412	546.0157283
413	545.7656269
414	545.6479239
415	545.6172916
416	545.5877689
417	545.2554646
418	545.1501562
419	544.8825883
420	544.7210109
421	544.5962705
422	544.5343853
423	544.4103979
424	544.3102317
425	544.2160008
426	544.0210636
427	543.9901805
428	543.7722253
429	543.5896041
430	543.4950354
431	543.467495
432	543.2662667
433	542.8872405
434	542.7577757
435	542.7305518
436	542.6614918
437	542.568273
438	542.3197849
439	542.2862457
440	542.2056765
441	542.139165
442	542.0266759
443	541.9404525
444	541.8291619
445	541.7370415
446	541.5486798
447	541.5167712
448	541.3463081
449	541.2007544
450	541.0206976
451	540.9781188
452	540.8861943
453	540.8288
454	540.5799378
455	540.4981084
456	540.4470023
457	540.3322621
458	540.0957263
459	539.9448555
460	539.8089606
461	539.5646935
462	539.338459
463	539.0788116
464	538.9802282
465	538.5430995
466	538.424791
467	538.1825018
468	538.0363458
469	537.9510449
470	537.719362
471	537.6324389
472	537.4560853
473	537.345271
474	537.1121366
475	537.0121226
476	536.7894385
477	536.5746679
478	536.4291944
479	536.1586331
480	535.936586
481	535.5040788
482	535.3429758
483	535.1275149
484	534.8692843
485	534.7293028
486	534.6680541
487	534.5613909
488	534.5217886
489	534.4907878
490	534.337447
491	534.259898
492	534.1832565
493	533.998862
494	533.9120663
495	533.7049759
496	533.5476261
497	533.4651869
498	533.1735661
499	532.9875317
500	532.8954632
501	532.8054594
502	532.7514117
503	532.3363214
504	532.2047901
505	531.921193
506	531.5117348
507	531.2934576
508	531.1256941
509	530.7375965
510	530.5399798
511	530.5157578
512	530.4040656
513	530.3448403
514	529.9708869
515	529.7202246
516	529.6346852
517	529.493592
518	529.2083429
519	529.1184354
520	528.9032324
521	528.7033959
522	528.6624924
523	528.5468916
524	528.1914984
525	528.0782066
526	527.7358379
527	527.6007173
528	527.2708784
529	527.038917
530	526.974536
531	526.829448
532	526.7398275
533	526.6246963
534	526.5151597
535	526.4773292
536	526.2701317
537	525.9566375
538	525.6101381
539	525.5047455
540	525.4185214
541	525.3384837
542	525.0360575
543	524.8228831
544	524.5357497
545	524.3586066
546	524.0818546
547	523.9800431
548	523.6541567
549	523.5251198
550	523.3969203
551	523.1414083
552	522.9034186
553	522.8259812
554	522.7030812
555	522.604753
556	522.5301435
557	522.5071721
558	522.4209808
559	522.2950115
560	522.222877
561	521.9551799
562	521.8345461
563	521.7168316
564	521.6448676
565	521.3954792
566	521.1952351
567	521.0740248
568	520.794521
569	520.714779
570	520.4471568
571	520.4069051
572	520.3021569
573	520.2070622
574	520.0249164
575	519.9743647
576	519.8605385
577	519.6012825
578	519.4269253
579	519.3571446
580	519.1075116
581	518.9881372
582	518.8760321
583	518.7813607
584	518.5629111
585	518.5124664
586	518.4205445
587	518.293158
588	518.1490008
589	518.0671913
590	517.9061325
591	517.7889462
592	517.5410629
593	517.316049
594	517.0709045
595	517.0105047
596	516.9322125
597	516.6906208
598	516.5813611
599	516.5138619
600	516.2478829
601	516.0569353
602	515.9647536
603	515.8844156
604	515.5907732
605	515.4246526
606	515.3777405
607	515.0664966
608	514.8792823
609	514.8277359
610	514.7534978
611	514.566469
612	514.4409421
613	514.341895
614	514.1855078
615	513.951614
616	513.8134488
617	513.7061086
618	513.6732418
619	513.4477227
620	513.3752332
621	513.2861113
622	513.1776988
623	513.1248072
624	513.052144
625	512.7939775
626	512.7380811
627	512.5770022
628	512.5074905
629	512.3434864
630	512.2389207
631	512.138417
632	511.9876198
633	511.7058489
634	511.6868004
635	511.4911979
636	511.2048136
637	511.1306177
638	511.0643642
639	510.994231
640	510.8927347
641	510.6744465
642	510.5464636
643	510.3096371
644	510.1667328
645	509.9859366
646	509.7089495
647	509.690715
648	509.4799113
649	509.4168834
650	509.3080637
651	509.1430987
652	508.9871163
653	508.823952
654	508.763451
655	508.6598484
656	508.4325236
657	508.3391733
658	508.2441251
659	508.0212754
660	507.8664607
661	507.4729391
662	507.2689579
663	507.2195783
664	507.1657853
665	507.0614879
666	506.9920159
667	506.7328748
668	506.5445404
669	506.4326764
670	506.2616405
671	506.2008313
672	505.8938349
673	505.8180696
674	505.7519672
675	505.5036874
676	505.3064321
677	505.2215185
678	505.0994117
679	505.0502268
680	504.7990365
681	504.7115213
682	504.5342735
683	504.4879739
684	504.3442055
685	504.2761069
686	504.0339783
687	503.1440473
688	502.9920469
689	502.9080724
690	502.8241016
691	502.6031152
692	502.4686225
693	502.278937
694	502.2103093
695	501.9913593
696	501.9617581
697	501.8693319
698	501.6578624
699	501.5271937
700	501.2818601
701	501.1848593
702	500.8838105
703	500.7311842
704	500.6742641
705	500.6425999
706	500.5684366
707	500.3877046
708	500.2384581
709	499.9580185
710	499.7839614
711	499.7038896
712	499.6041967
713	499.3957023
714	499.1708711
715	499.0941915
716	499.0698204
717	498.8821263
718	498.7947333
719	498.632318
720	498.6020448
721	498.5333227
722	498.4732062
723	498.3804614
724	498.1435984
725	497.8857455
726	497.8414912
727	497.6878095
728	497.6549004
729	497.4566086
730	497.350232
731	497.2366399
732	497.1098698
733	497.0147672
734	496.9338597
735	496.8184485
736	496.6886309
737	496.6546043
738	496.6348199
739	496.234586
740	496.0990131
741	495.9512576
742	495.6795433
743	495.6589867
744	495.6070884
745	495.5639755
746	495.3417293
747	495.1283809
748	494.7838558
749	494.6612235
750	494.5010491
751	494.4589617
752	494.4103298
753	494.2211259
754	494.1411042
755	494.0495514
756	493.9799696
757	493.8672836
758	493.8287306
759	493.7607726
760	493.6699688
761	493.5648369
762	493.4343304
763	493.1980013
764	493.0948849
765	493.0068503
766	492.8545642
767	492.6233537
768	492.5733109
769	492.2014154
770	492.0791344
771	492.0585815
772	491.8391722
773	491.7011488
774	491.677831
775	491.6275553
776	491.5363153
777	491.3858283
778	491.1298759
779	490.9395466
780	490.7927928
781	490.7504815
782	490.7075844
783	490.5588663
784	490.4833101
785	490.069136
786	490.0048793
787	489.9623224
788	489.6342569
789	489.5200676
790	489.4813193
791	489.3915511
792	489.3218331
793	489.2482483
794	489.1076225
795	489.0110957
796	488.9770438
797	488.9272373
798	488.7735743
799	488.6326504
800	488.4392967
801	488.2886507
802	487.9000225
803	487.7543472
804	487.6449226
805	487.5094863
806	487.4406914
807	487.2771786
808	487.0745307
809	486.9612985
810	486.7922739
811	486.5748552
812	486.4291938
813	486.3346841
814	486.1173028
815	485.9899753
816	485.7235845
817	485.6414754
818	485.6026393
819	485.5800878
820	484.8198032
821	484.7863025
822	484.7591911
823	484.6298971
824	484.5922066
825	484.4459845
826	484.3877171
827	484.3196789
828	484.253925
829	484.1485541
830	484.0815031
831	484.003024
832	483.9647952
833	483.8195804
834	483.765288
835	483.7071263
836	483.6850878
837	483.6228167
838	483.5676626
839	483.4587268
840	483.3059308
841	483.1466099
842	482.9462543
843	482.8046199
844	482.7744243
845	482.7524168
846	482.6976019
847	482.447094
848	482.3094303
849	482.218915
850	482.133659
851	482.0000994
852	481.9176653
853	481.8898214
854	481.7549402
855	481.6181646
856	481.5816828
857	481.4320537
858	481.3799439
859	481.2927989
860	481.2175983
861	481.1543243
862	481.0899604
863	480.9580175
864	480.8565791
865	480.7330428
866	480.622248
867	480.4751832
868	480.4191322
869	480.2707937
870	479.9489729
871	479.8854933
872	479.6961098
873	479.615426
874	479.3727688
875	479.1265421
876	479.0913431
877	479.0549483
878	479.0155917
879	478.9477374
880	478.9186031
881	478.8560887
882	478.8209755
883	478.6795163
884	478.388512
885	478.3163055
886	478.1608072
887	478.1003734
888	477.8889151
889	477.7916335
890	477.6053131
891	477.5424899
892	477.3270177
893	477.272869
894	477.2111973
895	476.9964809
896	476.9635501
897	476.8338053
898	476.8138135
899	476.6686201
900	476.5719257
901	476.54102
902	476.4879034
903	476.3638613
904	476.3002416
905	476.2016347
906	476.1809924
907	476.145045
908	476.0037472
909	475.9469375
910	475.6702859
911	475.4289805
912	475.3003852
913	475.1561244
914	474.9585054
915	474.8079736
916	474.726073
917	474.6882051
918	474.65726
919	474.6077142
920	474.5577513
921	474.3827122
922	474.1995677
923	474.1506792
924	474.0611848
925	473.9141116
926	473.7980903
927	473.7065679
928	473.4033972
929	473.3442636
930	473.3169879
931	473.2197903
932	473.1656239
933	473.0365413
934	472.9120449
935	472.8860585
936	472.7973708
937	472.6505094
938	472.5490329
939	472.5299101
940	472.4088489
941	472.1173117
942	472.087336
943	471.9697203
944	471.9231504
945	471.8291136
946	471.8094971
947	471.7019241
948	471.6370633
949	471.598519
950	471.4909215
951	471.2746057
952	471.2528188
953	471.1216626
954	471.0328393
955	470.9509288
956	470.6704087
957	470.6046591
958	470.5426802
959	470.4373264
960	470.3306476
961	470.1726079
962	470.1405111
963	470.0792948
964	469.9474521
965	469.8111296
966	469.6729549
967	469.5421998
968	469.4570933
969	469.317619
970	469.2073732
971	469.1167275
972	468.920819
973	468.7399116
974	468.7125817
975	468.6405695
976	468.4864426
977	468.2715089
978	468.1448616
979	467.9659522
980	467.8866589
981	467.7984346
982	467.69067
983	467.6139242
984	467.4606619
985	467.4357237
986	467.1655946
987	467.0750308
988	466.8899195
989	466.8047485
990	466.6401084
991	466.5327544
992	466.3541106
993	466.265321
994	466.2147269
995	466.1801069
996	466.1218351
997	466.0765883
998	465.9565041
999	465.8851054
